nro;ubigeo;region;provincia;distrito;centro_poblado;2g;3g;4g;5g;lat;lon
3667;1401170002;LAMBAYEQUE;CHICLAYO;PATAPO;POSOPE BAJO;;;SI;;-6.721469975;-79.65490999
3668;1401170003;LAMBAYEQUE;CHICLAYO;PATAPO;LA RAPIDA;;SI;;;-6.72879;-79.64795333
3669;1401170004;LAMBAYEQUE;CHICLAYO;PATAPO;PUENTE BATANGRANDE ANTIGUO;;SI;;;-6.72717;-79.65052
3670;1401170005;LAMBAYEQUE;CHICLAYO;PATAPO;CRUCE BATANGRANDE;;SI;;;-6.730006667;-79.65159167
3671;1401170006;LAMBAYEQUE;CHICLAYO;PATAPO;CONCHUCOS;;;SI;;-6.733;-79.65357
3672;1401170007;LAMBAYEQUE;CHICLAYO;PATAPO;LA CONCORDIA;;SI;;;-6.734425;-79.65121
3673;1401170013;LAMBAYEQUE;CHICLAYO;PATAPO;LA PUNTILLA;;SI;;;-6.74361;-79.50149
3674;1401170016;LAMBAYEQUE;CHICLAYO;PATAPO;POZO 14;;SI;;;-6.747208333;-79.61612167
3675;1401170019;LAMBAYEQUE;CHICLAYO;PATAPO;MIRADOR BAJO;;;SI;;-6.7423478;-79.63822
3676;1401170022;LAMBAYEQUE;CHICLAYO;PATAPO;PUENTE REGALADO;;SI;;;-6.767178333;-79.61266833
3677;1401170025;LAMBAYEQUE;CHICLAYO;PATAPO;POZO 10;;SI;;;-6.7414078;-79.6119
3678;1401170030;LAMBAYEQUE;CHICLAYO;PATAPO;CHASCARRAPE;;;SI;;-6.74411;-79.63839
3679;1401180001;LAMBAYEQUE;CHICLAYO;POMALCA;POMALCA;;;SI;;-6.767895638;-79.78145397
3680;1401180005;LAMBAYEQUE;CHICLAYO;POMALCA;INVERNILLO;;SI;;;-6.75891;-79.78113
3681;1401180006;LAMBAYEQUE;CHICLAYO;POMALCA;EL CHORRO;;SI;;;-6.76402;-79.76541
3682;1401180009;LAMBAYEQUE;CHICLAYO;POMALCA;SAN ANTONIO;;SI;;;-6.77712;-79.77829
3683;1401180010;LAMBAYEQUE;CHICLAYO;POMALCA;LAS PALMERAS;;SI;;;-6.78185;-79.77594
3684;1501130001;LIMA;LIMA;JESUS MARIA;JESUS MARIA;;;SI;;-12.07517667;-77.04389115
3685;1501140001;LIMA;LIMA;LA MOLINA;LA MOLINA;;;SI;;-12.07798442;-76.91732812
3686;1501150001;LIMA;LIMA;LA VICTORIA;LA VICTORIA;;;SI;;-12.06394688;-77.03001969
3687;1501160001;LIMA;LIMA;LINCE;LINCE;;;SI;;-12.08250088;-77.03109025
3688;1501170001;LIMA;LIMA;LOS OLIVOS;LAS PALMERAS;;;SI;;-11.99152584;-77.07107424
3689;1501180001;LIMA;LIMA;LURIGANCHO;CHOSICA;;;SI;;-11.93643485;-76.69672195
3690;1501190001;LIMA;LIMA;LURIN;LURIN;;;SI;;-12.2733997;-76.869005
3691;1501190002;LIMA;LIMA;LURIN;LOS ALMACIGOS;;;SI;;-12.22605;-76.88466
3692;1501190005;LIMA;LIMA;LURIN;FUNDO SANTA GENOVEVA;;SI;;;-12.27805;-76.84714
3693;1501190006;LIMA;LIMA;LURIN;LOS MADEROS;;;SI;;-12.28165;-76.83515
3694;1501190007;LIMA;LIMA;LURIN;CASCO VIEJO;;;SI;;-12.28538;-76.83966
3695;1501190009;LIMA;LIMA;LURIN;VISTA ALEGRE;;SI;;;-12.29194;-76.83454
3696;1501190011;LIMA;LIMA;LURIN;LOMAS PUCARA;;;SI;;-12.279326;-76.83501
3697;1501190012;LIMA;LIMA;LURIN;LA QUERENCIA;;;SI;;-12.27205644;-76.83655614
3698;1501200001;LIMA;LIMA;MAGDALENA DEL MAR;MAGDALENA DEL MAR;;;SI;;-12.09043562;-77.06999553
3699;1501210001;LIMA;LIMA;PUEBLO LIBRE;PUEBLO LIBRE;;;SI;;-12.07777124;-77.06224999
3700;1501220001;LIMA;LIMA;MIRAFLORES;MIRAFLORES;;;SI;;-12.11924981;-77.02906825
3701;1501230001;LIMA;LIMA;PACHACAMAC;PACHACAMAC;;;SI;;-12.22992725;-76.85939703
3702;1501230002;LIMA;LIMA;PACHACAMAC;PUENTE MANCHAY;;;SI;;-12.14669266;-76.83305915
3703;1501230003;LIMA;LIMA;PACHACAMAC;TAMBO INGA;;;SI;;-12.14605;-76.83222
3704;1501230004;LIMA;LIMA;PACHACAMAC;PAMPA FLORES;;SI;;;-12.15874;-76.83879
3705;1501230005;LIMA;LIMA;PACHACAMAC;MANCHAY ALTO LOTE B;;SI;;;-12.15884;-76.85414
3706;1501230007;LIMA;LIMA;PACHACAMAC;MANCHAY BAJO;;SI;;;-12.17167;-76.86029
3707;1501230009;LIMA;LIMA;PACHACAMAC;CARDAL;;SI;;;-12.18323;-76.8494
3708;1501230010;LIMA;LIMA;PACHACAMAC;JATOSISA;;SI;;;-12.20873;-76.85048
3709;1501230011;LIMA;LIMA;PACHACAMAC;TOMINA;;SI;;;-12.1969;-76.85737
3710;1501240002;LIMA;LIMA;PUCUSANA;HONDA;;;SI;;-12.442964;-76.77708
3711;1501240003;LIMA;LIMA;PUCUSANA;QUIPA;;;SI;;-12.445647;-76.78125
3712;1501240004;LIMA;LIMA;PUCUSANA;LOS PELICANOS;;;SI;;-12.443874;-76.77943
3713;1501240005;LIMA;LIMA;PUCUSANA;PLAYA PUERTO BELLO;;SI;;;-12.473453;-76.79032
3714;1501250001;LIMA;LIMA;PUENTE PIEDRA;PUENTE PIEDRA;;;SI;;-11.86680502;-77.07773392
3715;1501260001;LIMA;LIMA;PUNTA HERMOSA;PUNTA HERMOSA;;;SI;;-12.33518787;-76.82435778
3716;1501260005;LIMA;LIMA;PUNTA HERMOSA;AVICOLA SAN CIRILO DE LOMA NEGRA - 03;;;SI;;-12.305339;-76.83204
3717;1501260006;LIMA;LIMA;PUNTA HERMOSA;AVICOLA SAN CIRILO DE LOMA NEGRA - 02;;SI;;;-12.32569;-76.82178
3718;1501260008;LIMA;LIMA;PUNTA HERMOSA;PAMPA MAMAY;;;SI;;-12.29667;-76.82515
3719;1501260009;LIMA;LIMA;PUNTA HERMOSA;CERRO BOTIJA;;;SI;;-12.3422;-76.81489
3720;1501280001;LIMA;LIMA;RIMAC;RIMAC;;;SI;;-12.04233517;-77.02619575
3721;1501290006;LIMA;LIMA;SAN BARTOLO;GRANJA 5;;SI;;;-12.39407;-76.74557
3722;1307010003;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;CAVOUR;;SI;;;-7.371448333;-79.46806167
3723;1307010008;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;CRUCE EL HORNITO;;SI;;;-7.41666;-79.52236
3724;1309040001;LA LIBERTAD;SANCHEZ CARRION;CURGOS;CURGOS;;;SI;;-7.860264341;-77.94356798
3725;1403080083;LAMBAYEQUE;LAMBAYEQUE;OLMOS;CORRAL DE ARENA LA ESPERA;;;SI;;-5.89998467;-79.83323328
3726;1403080085;LAMBAYEQUE;LAMBAYEQUE;OLMOS;CRUZ BLANCA;;;SI;;-5.908653497;-79.81613592
3727;1403080112;LAMBAYEQUE;LAMBAYEQUE;OLMOS;ALAN GARCIA;;SI;;;-5.99408;-79.73146
3728;1403080136;LAMBAYEQUE;LAMBAYEQUE;OLMOS;EL RETIRO;SI;;;;-5.895303059;-79.86571724
3729;1403080137;LAMBAYEQUE;LAMBAYEQUE;OLMOS;SAN PABLO;;;SI;;-5.893411117;-79.83768
3730;1403080138;LAMBAYEQUE;LAMBAYEQUE;OLMOS;SANTA ROSA;;;SI;;-5.898161483;-79.8498156
3731;1403080139;LAMBAYEQUE;LAMBAYEQUE;OLMOS;YAUSAQUE;;;SI;;-5.908977804;-79.83769929
3732;1502040001;LIMA;BARRANCA;SUPE;SUPE;;;SI;;-10.79575749;-77.716469
3733;1502040021;LIMA;BARRANCA;SUPE;SANTA ROSA;;SI;;;-10.81377;-77.70497
3734;1502040026;LIMA;BARRANCA;SUPE;PIEDRA PARADA;;;SI;;-10.84822;-77.69439
3735;1502040027;LIMA;BARRANCA;SUPE;EL PORVENIR;;;SI;;-10.85277;-77.69041
3736;1502040028;LIMA;BARRANCA;SUPE;CALETA VIDAL;;;SI;;-10.85537;-77.70262
3737;1502040043;LIMA;BARRANCA;SUPE;LA MINKA;;SI;;;-10.78787954;-77.71370006
3738;1502040044;LIMA;BARRANCA;SUPE;CANTAGALLO;;;SI;;-10.81645;-77.71753
3739;1502040045;LIMA;BARRANCA;SUPE;EL SAUSAL;;SI;;;-10.8317;-77.68337
3740;1502050001;LIMA;BARRANCA;SUPE PUERTO;SUPE PUERTO;;;SI;;-10.80446547;-77.74284617
3741;1502050004;LIMA;BARRANCA;SUPE PUERTO;ATARJEA;;;SI;;-10.77971;-77.73099
3742;1502050005;LIMA;BARRANCA;SUPE PUERTO;PAN DE AZUCAR;;;SI;;-10.77895;-77.72622
3743;1502050007;LIMA;BARRANCA;SUPE PUERTO;EL ASPERO;;SI;;;-10.78183;-77.72404
3744;1502050009;LIMA;BARRANCA;SUPE PUERTO;HUARANGAL;;;SI;;-10.78876;-77.7251
3745;1502050010;LIMA;BARRANCA;SUPE PUERTO;SAN JOSE;;SI;;;-10.78778;-77.71378
3746;1503010001;LIMA;CAJATAMBO;CAJATAMBO;CAJATAMBO;;;SI;;-10.4725797;-76.99300358
3747;1309010001;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;HUAMACHUCO;;;SI;;-7.815629862;-78.04868705
3748;1309010023;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;SAUSACOCHA;;;SI;;-7.80265;-77.98395
3749;1309010028;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;CHOCHOCONDA;;;SI;;-7.80963;-78.02939
3750;1309010029;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;SAZON;;;SI;;-7.80964;-78.03357
3751;1309010030;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;LA CUCHILLA;;;SI;;-7.8189;-78.02368
3752;1309010031;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;SHIRACMACA;;;SI;;-7.81521;-78.00814
3753;1309010035;LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;PARANSHIQUE;;;SI;;-7.8305;-78.02639
3754;1309040003;LA LIBERTAD;SANCHEZ CARRION;CURGOS;COLLASGON;;;SI;;-7.81621;-77.96845
3755;1309040008;LA LIBERTAD;SANCHEZ CARRION;CURGOS;PIOGAN;;;SI;;-7.81792;-77.96113
3756;1309040010;LA LIBERTAD;SANCHEZ CARRION;CURGOS;QUEROBAL;;SI;;;-7.83967;-77.93814
3757;1309040013;LA LIBERTAD;SANCHEZ CARRION;CURGOS;PORVENIR;;;SI;;-7.8322207;-77.94368
3758;1309040017;LA LIBERTAD;SANCHEZ CARRION;CURGOS;SAN LORENZO;;SI;;;-7.83691;-77.94982
3759;1309040018;LA LIBERTAD;SANCHEZ CARRION;CURGOS;CORRAL COLORADO;;;SI;;-7.84431;-77.94001
3760;1309040019;LA LIBERTAD;SANCHEZ CARRION;CURGOS;CONDORPINA;;;SI;;-7.845666667;-77.94851
3761;1309040020;LA LIBERTAD;SANCHEZ CARRION;CURGOS;PILANCON;;;SI;;-7.8386;-77.94146
3762;1309040023;LA LIBERTAD;SANCHEZ CARRION;CURGOS;PAMPA GRANDE;;SI;;;-7.84723;-77.95923
3763;1309040041;LA LIBERTAD;SANCHEZ CARRION;CURGOS;PAMPITAS;;SI;;;-7.83078;-77.93252
3764;1309040042;LA LIBERTAD;SANCHEZ CARRION;CURGOS;QUEROBAL GRANDE;;;SI;;-7.83623;-77.93786
3765;1309070023;LA LIBERTAD;SANCHEZ CARRION;SARIN;SAN BERNARDO;;;SI;;-7.88643;-77.92725
3766;1308080034;LA LIBERTAD;PATAZ;PARCOY;RETAMAS;;;SI;;-8.020516236;-77.47624708
3767;1312010001;LA LIBERTAD;VIRU;VIRU;VIRU;;;SI;;-8.414315071;-78.75219813
3768;1312010013;LA LIBERTAD;VIRU;VIRU;ZARAQUE;;SI;;;-8.38744;-78.72472
3769;1312010016;LA LIBERTAD;VIRU;VIRU;CERRITO;;SI;;;-8.402943552;-78.75971427
3770;1312010017;LA LIBERTAD;VIRU;VIRU;LA GLORIA;;SI;;;-8.39969;-78.72908
3771;1312010018;LA LIBERTAD;VIRU;VIRU;CAMPIÑA PACORA;;SI;;;-8.40276;-78.7336
3772;1312010019;LA LIBERTAD;VIRU;VIRU;EL SOCORRO;;SI;;;-8.40578407;-78.73501233
3773;1312010020;LA LIBERTAD;VIRU;VIRU;SAN IDELFONSO;SI;;;;-8.401516969;-78.78043371
3774;1312010021;LA LIBERTAD;VIRU;VIRU;CHANQUIN ALTO;;SI;;;-8.40273;-78.75905
3775;1312010022;LA LIBERTAD;VIRU;VIRU;CHANQUIN BAJO;;SI;;;-8.41929;-78.78595
3776;1312010024;LA LIBERTAD;VIRU;VIRU;VICTOR RAUL;;;SI;;-8.40513444;-78.82271516
3777;1312010026;LA LIBERTAD;VIRU;VIRU;FRONTON ALTO;;SI;;;-8.4132;-78.83985
3778;1312010027;LA LIBERTAD;VIRU;VIRU;PUERTO MORIN;;;SI;;-8.40319;-78.8959
3779;1312010028;LA LIBERTAD;VIRU;VIRU;FRONTON BAJO;;SI;;;-8.41574;-78.85773
3780;1312010029;LA LIBERTAD;VIRU;VIRU;SANTA ELENA;;;SI;;-8.43178;-78.83227
3781;1312010032;LA LIBERTAD;VIRU;VIRU;PUENTE VIRU;;;SI;;-8.422335717;-78.7804434
3782;1312010033;LA LIBERTAD;VIRU;VIRU;RAMAL CARTAVIO;;SI;;;-8.431602052;-78.79728028
3783;1312010034;LA LIBERTAD;VIRU;VIRU;SAUSALITO;;SI;;;-8.445546375;-78.83661448
3784;1312010036;LA LIBERTAD;VIRU;VIRU;HUANCACO;;SI;;;-8.44134;-78.8026
3785;1312010038;LA LIBERTAD;VIRU;VIRU;HUACA LARGA;;SI;;;-8.44192;-78.764
3786;1312010039;LA LIBERTAD;VIRU;VIRU;HUANCAQUITO ALTO;;SI;;;-8.447656268;-78.81849152
3787;1312010040;LA LIBERTAD;VIRU;VIRU;CERRITO PIÑA;SI;;;;-8.46298706;-78.83050302
3788;1312010041;LA LIBERTAD;VIRU;VIRU;CARLOS PIMENTEL;;SI;;;-8.44267;-78.86257
3789;1403040031;LAMBAYEQUE;LAMBAYEQUE;JAYANCA;PURISIMA CONCEPCION SECTOR C;;;SI;;-6.328249974;-79.75840999
3790;1309070027;LA LIBERTAD;SANCHEZ CARRION;SARIN;EL POTRERO;;SI;;;-7.86365;-77.90811
3791;1309070078;LA LIBERTAD;SANCHEZ CARRION;SARIN;MACHAY;;;SI;;-7.887486667;-77.91715833
3792;1309070079;LA LIBERTAD;SANCHEZ CARRION;SARIN;HUARAUYA;;SI;;;-7.88163;-77.90327
3793;1401070026;LAMBAYEQUE;CHICLAYO;LAGUNAS;MANCO CAPAC I;;;SI;;-6.9823768;-79.62366
3794;1505020014;LIMA;CAÑETE;ASIA;BUENA VISTA;SI;;;;-12.78273667;-76.56007667
3795;1505020016;LIMA;CAÑETE;ASIA;LAS PALMAS;;;SI;;-12.79292;-76.57308
3796;1505020018;LIMA;CAÑETE;ASIA;EL TAMBO;;SI;;;-12.80771;-76.56065
3797;1505020019;LIMA;CAÑETE;ASIA;LA JOYA;;SI;;;-12.79352;-76.56115
3798;1505020021;LIMA;CAÑETE;ASIA;SARAPAMPA;;;SI;;-12.83035;-76.53827
3799;1505020023;LIMA;CAÑETE;ASIA;PLAYA EL BARRRANCADERO;;;SI;;-12.91591;-76.50652
3800;1505020024;LIMA;CAÑETE;ASIA;PLAYA LAS BRISAS;;;SI;;-12.76837;-76.60991
3801;1505020025;LIMA;CAÑETE;ASIA;PLAYA LOS COCOS;;;SI;;-12.780398;-76.59828
3802;1505020026;LIMA;CAÑETE;ASIA;PLAYA KAPALA;;;SI;;-12.781475;-76.59594
3803;1505020027;LIMA;CAÑETE;ASIA;PLAYA SOL Y MAR;;;SI;;-12.77979729;-76.59335361
3804;1505020028;LIMA;CAÑETE;ASIA;CAPILLA DE ASIA;;;SI;;-12.78003;-76.56649
3805;1505020029;LIMA;CAÑETE;ASIA;PLAYA BONITA;;;SI;;-12.785016;-76.59178
3806;1505020030;LIMA;CAÑETE;ASIA;PLAYA COSTA DE SOL;;;SI;;-12.786832;-76.589
3807;1505020031;LIMA;CAÑETE;ASIA;PLAYA PALABRITAS;;;SI;;-12.789187;-76.58555
3808;1505020032;LIMA;CAÑETE;ASIA;PLAYA COCOA;;;SI;;-12.790858;-76.58341
3809;1505020033;LIMA;CAÑETE;ASIA;PLAYA LAS PALMAS;;;SI;;-12.779044;-76.59996
3810;1505020034;LIMA;CAÑETE;ASIA;ASIA DEL MAR;;;SI;;-12.78121;-76.58359
3811;1505020035;LIMA;CAÑETE;ASIA;PLAYA EL SOL;;;SI;;-12.758687;-76.61893
3812;1505020036;LIMA;CAÑETE;ASIA;PLAYA BLANCA;;;SI;;-12.761894;-76.6141
3813;1505020037;LIMA;CAÑETE;ASIA;PLAYA GALAPAGOS;;;SI;;-12.773238;-76.609
3814;1505020038;LIMA;CAÑETE;ASIA;PLAYA RINCONADA BEACH;;;SI;;-12.771678;-76.60908
3815;1505020039;LIMA;CAÑETE;ASIA;PLAYA ALGARROBOS;;;SI;;-12.77557;-76.60838
3816;1505020040;LIMA;CAÑETE;ASIA;PLAYA LOBO BLANCO;;;SI;;-12.735591;-76.63327
3817;1505020041;LIMA;CAÑETE;ASIA;PLAYA CHUPICALLA;;;SI;;-12.73767;-76.63416
3818;1505020042;LIMA;CAÑETE;ASIA;PLAYA BORA BORA;;;SI;;-12.756394;-76.61742
3819;1505020043;LIMA;CAÑETE;ASIA;PLAYA MAR AZUL;;;SI;;-12.770281;-76.60885
3820;1505020044;LIMA;CAÑETE;ASIA;PLAYA EL GOLF;;;SI;;-12.745085;-76.63119
3821;1505020045;LIMA;CAÑETE;ASIA;PLAYA LAS ARENAS;;SI;;;-12.7324;-76.63068
3822;1505020046;LIMA;CAÑETE;ASIA;PLAYA CAYMA;;;SI;;-12.777036;-76.60665
3823;1505020047;LIMA;CAÑETE;ASIA;PLAYA ISLA;;;SI;;-12.766745;-76.61143
3824;1505020048;LIMA;CAÑETE;ASIA;PLAYA LOS FLAMENCOS;;;SI;;-12.765601;-76.61225
3825;1505020050;LIMA;CAÑETE;ASIA;PLAYA LEONCITOS;SI;;;;-12.88512998;-76.51236999
3826;1505020051;LIMA;CAÑETE;ASIA;PLAYA LA ENCONTRADA;;;SI;;-12.88741;-76.51232
3827;1505020052;LIMA;CAÑETE;ASIA;PLAYA A.C.J.;;;SI;;-12.88860998;-76.51228999
3828;1505020053;LIMA;CAÑETE;ASIA;PLAYA LA ESCONDIDA;;;SI;;-12.89007998;-76.51158999
3829;1505020054;LIMA;CAÑETE;ASIA;PLAYA PALILLOS;;SI;;;-12.89246998;-76.51126999
3830;1505020056;LIMA;CAÑETE;ASIA;PLAYA GAVIOTAS;;SI;;;-12.79339;-76.57537
3831;1505020060;LIMA;CAÑETE;ASIA;PLAYA CHAMBALA;;;SI;;-12.89104;-76.50907
3832;1505020062;LIMA;CAÑETE;ASIA;APRILS;;;SI;;-12.75425;-76.6225
3833;1505020063;LIMA;CAÑETE;ASIA;DELFINES;;;SI;;-12.725901;-76.6292
3834;1505020064;LIMA;CAÑETE;ASIA;CLUB REAL;;;SI;;-12.798984;-76.57235
3835;1505100009;LIMA;CAÑETE;NUEVO IMPERIAL;CARMEN ALTO;;;SI;;-13.03267864;-76.3320788
3836;1505100010;LIMA;CAÑETE;NUEVO IMPERIAL;SANTA CLAUDIA;;SI;;;-13.04314;-76.32594
3837;1505100012;LIMA;CAÑETE;NUEVO IMPERIAL;ALMENARES;;SI;;;-13.05597;-76.32411
3838;1505100015;LIMA;CAÑETE;NUEVO IMPERIAL;JOSEFINA;;SI;;;-13.06689;-76.32027
3839;1505100020;LIMA;CAÑETE;NUEVO IMPERIAL;SANTA ADELA;;;SI;;-13.07067;-76.33122
3840;1505100021;LIMA;CAÑETE;NUEVO IMPERIAL;EL CONDE;;SI;;;-13.08216;-76.32784
3841;1505100022;LIMA;CAÑETE;NUEVO IMPERIAL;TUNEL GRANDE;;SI;;;-13.07954;-76.30719
3842;1505100027;LIMA;CAÑETE;NUEVO IMPERIAL;EL POLVORIN;;SI;;;-13.07192667;-76.30949667
3843;1505110005;LIMA;CAÑETE;PACARAN;ROMANI;;;SI;;-12.87812167;-76.06854167
3844;1505110006;LIMA;CAÑETE;PACARAN;PUEBLO NUEVO (ROMANI);;;SI;;-12.88473833;-76.07118
3845;1505110007;LIMA;CAÑETE;PACARAN;JACAYA;;;SI;;-12.89802167;-76.08847167
3846;1505110008;LIMA;CAÑETE;PACARAN;JACAYITA;SI;;;;-12.91704667;-76.099155
3847;1505110010;LIMA;CAÑETE;PACARAN;PATA;;;SI;;-12.86866;-76.06167667
3848;1505120002;LIMA;CAÑETE;QUILMANA;EL ROSARIO;;SI;;;-12.93907;-76.38662
3849;1505120003;LIMA;CAÑETE;QUILMANA;FRAY RAMON;;SI;;;-12.94115;-76.40176
3850;1505120004;LIMA;CAÑETE;QUILMANA;HUAMAN DE LOS HEROS;;SI;;;-12.95065;-76.39907
3851;1505120005;LIMA;CAÑETE;QUILMANA;SAN MARTIN;;;SI;;-12.95219;-76.38843
3852;1505120012;LIMA;CAÑETE;QUILMANA;SANTA MONICA;;;SI;;-12.96644;-76.3708
3853;1505120013;LIMA;CAÑETE;QUILMANA;SAN JOSE;;;SI;;-12.96334;-76.37673
3854;1505120014;LIMA;CAÑETE;QUILMANA;EL ALAMO;SI;;;;-12.963625;-76.38877667
3855;1505120018;LIMA;CAÑETE;QUILMANA;CINCO ESQUINAS;;;SI;;-12.97226;-76.38381
3856;1505120019;LIMA;CAÑETE;QUILMANA;SAN JULIAN;SI;;;;-12.96882833;-76.37666667
3857;1505120020;LIMA;CAÑETE;QUILMANA;CORTIJO;SI;;;;-12.97053333;-76.37131833
3858;1505120024;LIMA;CAÑETE;QUILMANA;EL 25;;SI;;;-12.97452;-76.41166
3859;1505120031;LIMA;CAÑETE;QUILMANA;NUEVA JERUSALEN;SI;;;;-12.91957;-76.38558167
3860;1505120033;LIMA;CAÑETE;QUILMANA;ALTO QUILMANA;;SI;;;-12.95007;-76.39482
3861;1505120036;LIMA;CAÑETE;QUILMANA;SAN VALENTIN;;SI;;;-12.9548;-76.36293
3862;1505120037;LIMA;CAÑETE;QUILMANA;REPARTICION;;;SI;;-12.9552;-76.37101
3863;1507170038;LIMA;HUAROCHIRI;SAN BARTOLOME;TARITA;;;SI;;-11.9045;-76.48693
3864;1506040031;LIMA;HUARAL;AUCALLAMA;LA CANDELARIA;;SI;;;-11.59448431;-77.20338533
3865;1506040036;LIMA;HUARAL;AUCALLAMA;SALAS;;SI;;;-11.58097;-77.19708
3866;1506040038;LIMA;HUARAL;AUCALLAMA;SAN AGUSTIN;;SI;;;-11.603788;-77.19452
3867;1506040039;LIMA;HUARAL;AUCALLAMA;PASAMAYO ALTO;;SI;;;-11.60025;-77.2122
3868;1506040044;LIMA;HUARAL;AUCALLAMA;CONTROL;SI;;;;-11.61510167;-77.23702833
3869;1506040064;LIMA;HUARAL;AUCALLAMA;BUENA VISTA BAJA;;SI;;;-11.59034;-77.18985
3870;1506040067;LIMA;HUARAL;AUCALLAMA;VIRGEN DE FATIMA;;SI;;;-11.61667;-77.23086
3871;1506040068;LIMA;HUARAL;AUCALLAMA;LOTIZADORA ACUÑA;;SI;;;-11.61578;-77.23086
3872;1506040069;LIMA;HUARAL;AUCALLAMA;LAS PALMERAS;;SI;;;-11.62499;-77.2312
3873;1506050001;LIMA;HUARAL;CHANCAY;CHANCAY;;;SI;;-11.5629454;-77.27052061
3874;1506050002;LIMA;HUARAL;CHANCAY;EL HATILLO;;SI;;;-11.4489;-77.34495
3875;1506050003;LIMA;HUARAL;CHANCAY;CHANCAYLLO;;SI;;;-11.48778;-77.30364
3876;1506050004;LIMA;HUARAL;CHANCAY;PAMPA LIBRE;;;SI;;-11.50130027;-77.29462969
3877;1507010001;LIMA;HUAROCHIRI;MATUCANA;MATUCANA;;;SI;;-11.84471061;-76.38607883
3878;1507010013;LIMA;HUAROCHIRI;MATUCANA;CARACANCHA;;;SI;;-11.85057;-76.40998
3879;1507010018;LIMA;HUAROCHIRI;MATUCANA;HUARIQUIÑA;;;SI;;-11.85655;-76.40511
3880;1508060037;LIMA;HUAURA;HUAURA;SAN JOSE;;SI;;;-11.10287008;-77.37997614
3881;1508060038;LIMA;HUAURA;HUAURA;SAN ISIDRO;;;SI;;-11.10315;-77.3796
3882;1508060039;LIMA;HUAURA;HUAURA;LA BALANZA;;;SI;;-11.041171;-77.60324
3883;1508060040;LIMA;HUAURA;HUAURA;PAMPA DEL CURA;SI;;;;-11.05876276;-77.61297658
3884;1508060042;LIMA;HUAURA;HUAURA;SAN JORGE;;SI;;;-11.07390028;-77.49885439
3885;1507170046;LIMA;HUAROCHIRI;SAN BARTOLOME;MALAFACHA;;SI;;;-11.91835;-76.5218
3886;1507320018;LIMA;HUAROCHIRI;SURCO;CHUQUIPAMPA;;;SI;;-11.8896;-76.42774
3887;1507320022;LIMA;HUAROCHIRI;SURCO;HUANANO;;;SI;;-11.90064;-76.44079
3888;1507320024;LIMA;HUAROCHIRI;SURCO;CHAPO;;;SI;;-11.8998;-76.44793
3889;1507320026;LIMA;HUAROCHIRI;SURCO;HUAQUICHA;;;SI;;-11.89941;-76.43062
3890;1508060048;LIMA;HUAURA;HUAURA;SAN GUILLERMO;;SI;;;-11.08194;-77.49777
3891;1508110103;LIMA;HUAURA;SAYAN;SANTA ROSITA;;SI;;;-11.21517565;-77.37150492
3892;1508110109;LIMA;HUAURA;SAYAN;SAN MIGUEL BAJO;SI;;;;-11.20753;-77.399595
3893;1508110111;LIMA;HUAURA;SAYAN;SANTA ANA;;SI;;;-11.2224775;-77.38491072
3894;1508110112;LIMA;HUAURA;SAYAN;EL DORADO;SI;;;;-11.20661833;-77.39367
3895;1508110113;LIMA;HUAURA;SAYAN;LA CADENA;;SI;;;-11.20840167;-77.407345
3896;1508110114;LIMA;HUAURA;SAYAN;CAROLINA;;;SI;;-11.2091058;-77.39838655
3897;1508110115;LIMA;HUAURA;SAYAN;PARAISO;SI;;;;-11.207205;-77.39885667
3898;1508110117;LIMA;HUAURA;SAYAN;LA CAPULLANA;;SI;;;-11.20900667;-77.41699333
3899;1508110118;LIMA;HUAURA;SAYAN;RANCHO CHICO;;SI;;;-11.20514;-77.41767833
3900;1508110119;LIMA;HUAURA;SAYAN;LA ESTRELLA;;SI;;;-11.207745;-77.402205
3901;1508110121;LIMA;HUAURA;SAYAN;LA PALMA (LAS FLORES);SI;;;;-11.20041833;-77.42398167
3902;1508110127;LIMA;HUAURA;SAYAN;SAN GUILLERMO;;SI;;;-11.20690167;-77.42312833
3903;1508110128;LIMA;HUAURA;SAYAN;HARAS MONTERRICO;SI;;;;-11.22930167;-77.40069167
3904;1508110138;LIMA;HUAURA;SAYAN;PUGA;;SI;;;-11.228488;-77.38758
3905;1508110155;LIMA;HUAURA;SAYAN;COSTA VERDE;;;SI;;-11.13531;-77.19913
3906;1508110160;LIMA;HUAURA;SAYAN;LA MERCED;;;SI;;-11.21914;-77.31111
3907;1508110162;LIMA;HUAURA;SAYAN;SAN JORGE;SI;;;;-11.20841083;-77.44205873
3908;1508110163;LIMA;HUAURA;SAYAN;LOS CHINOS (STA. VIRGINIA);;;SI;;-11.21022167;-77.40956833
3909;1508110165;LIMA;HUAURA;SAYAN;EL MILAGRO;SI;;;;-11.22709833;-77.40143
